match_no,batting_team,batting_side,overs,runs,"bowler_to_batsman, runs",commentary,numerical_runs,bowler,batsman,preprocessed_commentary
7,SL,2,14.3,1,"Mujeeb to Gunathilaka, 1 run",full toss driven down to long on,1,Mujeeb,Gunathilaka,"['full', 'toss', 'driven', 'long']"
7,SL,2,14.4,0,"Mujeeb to Rajapaksa, no run","full on off, driven into the covers but the man is in place to stop the single",0,Mujeeb,Rajapaksa,"['full', 'driven', 'cover', 'man', 'place', 'stop']"
7,SL,2,14.5,4,"Mujeeb to Rajapaksa, FOUR runs",down the track and finds the gap with this cover drive! Great batting.,4,Mujeeb,Rajapaksa,"['track', 'find', 'gap', 'thi', 'cover', 'drive', 'great', 'bat']"
7,SL,2,14.6,1,"Mujeeb to Rajapaksa, 1 run","drifts on to the pads, clipped to deep backward square for one",1,Mujeeb,Rajapaksa,"['drift', 'pad', 'clip', 'deep', 'backward', 'squar']"
7,SL,2,15.1,4,"Naveen-ul-Haq to Rajapaksa, FOUR runs","full angling away, and this is beautifully placed past point",4,Naveen-ul-Haq,Rajapaksa,"['full', 'angl', 'away', 'thi', 'beauti', 'place', 'past', 'point']"
7,SL,2,15.2,4,"Naveen-ul-Haq to Rajapaksa, FOUR runs",full outside off stump and absolutely muscled over deep extra cover! How about that!,4,Naveen-ul-Haq,Rajapaksa,"['full', 'outsid', 'stump', 'absolut', 'muscl', 'deep', 'extra', 'cover']"
7,SL,2,15.3,6,"Naveen-ul-Haq to Rajapaksa, SIX runs","uppppp and overrrr! Fullish ball just outside off. He nonchalantly skips down the ground and absolutely muscles a six over Naveen's head. The around-the-wicket angle works for Rajapaksa, hitting it through the line.",6,Naveen-ul-Haq,Rajapaksa,"['uppppp', 'overrun', 'fullish', 'ball', 'outsid', 'nonchalantli', 'skip', 'ground', 'absolut', 'muscl', 'raven', 'head', 'aroundthewicket', 'angl', 'work', 'rajapaksa', 'hit', 'line']"
7,SL,2,15.4,1,"Naveen-ul-Haq to Rajapaksa, 1 run",full and wide outside off. Square drive races away to deep extra cover,1,Naveen-ul-Haq,Rajapaksa,"['full', 'wide', 'outsid', 'squar', 'drive', 'race', 'away', 'deep', 'extra', 'cover']"
7,SL,2,15.5,1,"Naveen-ul-Haq to Gunathilaka, 1 run","good length, on middle and leg. Slower one, and worked to deep square leg",1,Naveen-ul-Haq,Gunathilaka,"['good', 'length', 'middl', 'leg', 'slower', 'work', 'deep', 'squar', 'leg']"
7,SL,2,15.6,2,"Naveen-ul-Haq to Rajapaksa, 2 runs","caught! dropped! caught again! DROPPED! Is that the match? Full ball wide outside off, and he hammers this away from his body. In the air, deep cover is there for the catch, but the ball pops in and out!",2,Naveen-ul-Haq,Rajapaksa,"['caught', 'drop', 'caught', 'drop', 'match', 'full', 'ball', 'wide', 'outsid', 'hammer', 'thi', 'away', 'hi', 'bodi', 'air', 'deep', 'cover', 'catch', 'ball', 'pop']"
